Gender,Grade,High School,School ID,Student ID,Student Name,Type,Budget,Math Score,Reading Score,Size
M,9th,Huang,0,0,Paul Bradley,District,1910635,79,66,2917
M,12th,Huang,0,1,Victor Smith,District,1910635,61,94,2917
M,12th,Huang,0,2,Kevin Rodriguez,District,1910635,60,90,2917
M,12th,Huang,0,3,Dr. Richard Scott,District,1910635,58,67,2917
F,9th,Huang,0,4,Bonnie Ray,District,1910635,84,97,2917
M,9th,Huang,0,5,Bryan Miranda,District,1910635,94,94,2917
F,11th,Huang,0,6,Sheena Carter,District,1910635,80,82,2917
F,12th,Huang,0,7,Nicole Baker,District,1910635,69,96,2917
M,10th,Huang,0,8,Michael Roth,District,1910635,87,95,2917
M,10th,Huang,0,9,Matthew Greene,District,1910635,84,96,2917
M,10th,Huang,0,10,Andrew Alexander,District,1910635,70,90,2917
M,10th,Huang,0,11,Daniel Cooper,District,1910635,77,78,2917
F,9th,Huang,0,12,Brittney Walker,District,1910635,79,64,2917
M,9th,Huang,0,13,William Long,District,1910635,79,71,2917
F,10th,Huang,0,14,Tammy Hebert,District,1910635,67,85,2917
M,11th,Huang,0,15,Dr. Jordan Carson,District,1910635,88,94,2917
M,9th,Huang,0,16,Donald Zamora,District,1910635,55,88,2917
F,9th,Huang,0,17,Kimberly Santiago,District,1910635,75,74,2917
M,9th,Huang,0,18,Kevin Stevens,District,1910635,69,64,2917
F,9th,Huang,0,19,Brandi Lyons,District,1910635,80,89,2917
F,10th,Huang,0,20,Lisa Davis,District,1910635,89,91,2917
F,10th,Huang,0,21,Kristen Lopez,District,1910635,77,90,2917
F,11th,Huang,0,22,Kimberly Stewart,District,1910635,84,99,2917
M,9th,Huang,0,23,Christopher Parker,District,1910635,68,81,2917
F,11th,Huang,0,24,Chelsea Griffith,District,1910635,73,85,2917
M,9th,Huang,0,25,Cesar Morris,District,1910635,70,92,2917
F,9th,Huang,0,26,Melanie Decker,District,1910635,85,63,2917
F,10th,Huang,0,27,Tracey Oconnor,District,1910635,58,80,2917
